Antibody,Antigen,IC50,
CH103,X2088_C9,>50,
CH103,X2088_C9,>50,
CH103,X2088_C9,>50,
CH103,X2088_C9,>50,
CH103,X2088_C9,>50,
CH103,X2131_C1_B5,>50,
CH103,X2278_C2_B6,2.2,
CH103,YU2,1.8,
CH103,YU2,1.8,
CH103,YU2,0.086,
CH103,YU2,1.8,
CH103,YU2,2.3,
CH103,YU2,1.8,
CH103,ZA012_29,28,
CH103,ZA012_29,28,
CH103,ZA012_29,1.72,
CH103,ZA012_29,28,
CH103,ZA012_29,>50,
CH103,ZA012_29,28,
CH103,ZM106_9,4.82,
CH103,ZM106_9,4.82,
CH103,ZM106_9,0.741,
CH103,ZM106_9,4.82,
CH103,ZM106_9,7.9,
CH103,ZM106_9,5.4,
CH103,ZM106_9,,
CH103,ZM109_4,9.08,
CH103,ZM109_4,21.2,
CH103,ZM109_4,21.2,
CH103,ZM109_4,18.1,
CH103,ZM109_4,3.83,
CH103,ZM109_4,21.2,
CH103,ZM109_4,21.2,
CH103,ZM109_4,21.2,
CH103,ZM135_10A,>50,
CH103,ZM135_10A,>50,
CH103,ZM135_10A,>50,
CH103,ZM135_10A,>50,
CH103,ZM135_10A,>50,
CH103,ZM135_10A,>50,
CH103,ZM135_10A,>50,
CH103,ZM176_66,0.227,
CH103,ZM176_66,0.227,
CH103,ZM176_66,0.03,
CH103,ZM176_66,0.227,
CH103,ZM176_66,0.23,
CH103,ZM197_7,35.4,
CH103,ZM197_7,35.4,
CH103,ZM197_7,13.5,
CH103,ZM197_7,0.668,
CH103,ZM197_7,35.4,
CH103,ZM197_7,35.4,
CH103,ZM197_7,35.4,
CH103,ZM214_15,41.4,
CH103,ZM214_15,41.4,
CH103,ZM214_15,>50,
CH103,ZM214_15,2.43,
CH103,ZM214_15,41.4,
CH103,ZM214_15,41.4,
CH103,ZM214_15,41.4,
CH103,ZM214_15,41,
CH103,ZM215_8,2.57,
CH103,ZM215_8,2.57,
CH103,ZM215_8,0.029,
CH103,ZM215_8,2.57,
CH103,ZM215_8,2.57,
CH103,ZM233_6,7.35,
CH103,ZM233_6,7.35,
CH103,ZM233_6,27.8,
CH103,ZM233_6,0.761,
CH103,ZM233_6,7.35,
CH103,ZM233_6,7.35,
CH103,ZM246F,>50,
CH103,ZM247_V1,>50,
CH103,ZM249_1,7.23,
CH103,ZM249_1,7.23,
CH103,ZM249_1,5.31,
CH103,ZM249_1,0.187,
CH103,ZM249_1,7.23,
CH103,ZM249_1,7.23,
CH103,ZM249_1,7.23,
CH103,ZM53_12,>50,
CH103,ZM53_12,>50,
CH103,ZM53_12,>50,
CH103,ZM53_12,0.939,
CH103,ZM53_12,>50,
CH103,ZM53_12,>50,
CH103,ZM55_28A,4.59,
CH103,ZM55_28A,4.59,
CH103,ZM55_28A,0.086,
CH103,ZM55_28A,4.59,
CH103,ZM55_28A,8.2,
CH103,ZM55_28A,4.59,
CH104,BG1168_1,13.4,
CH104,CH505_TF,3.08,
CH104,CH505_TF,2,
CH104,JRFL,0.025,
CH104,Q168_A2,2.7,
CH104,Q842_D12,2.4,
CH104,SF162,0.096,
CH104,ZM106_9,12,
CH105,BG1168_1,15.8,
CH105,CH505_TF,5.1,
CH105,CH505_TF,4.9,
CH105,JRFL,0.038,
CH105,Q168_A2,5.5,
CH105,Q842_D12,40,
CH105,SF162,0.562,
CH105,ZM106_9,28.5,
CH106,6101_1,1.8,
CH106,BAL_01,0.68,
CH106,BG1168_1,21.7,
CH106,BG1168_1,8.2,
CH106,BG505_W6M_C2_T332N,2.696,
CH106,BX08_16,1.15,
CH106,CH505_TF,3.12,
CH106,CH505_TF,2.3,
CH106,JRFL,0.02,
CH106,JRFL,< 0.023,
CH106,Q168_A2,2.53,
CH106,Q168_A2,1.6,
CH106,Q769_D22,1,
CH106,Q842_D12,1.46,
CH106,Q842_D12,0.6,
CH106,SF162,0.08,
CH106,SF162,0.121,
CH106,SS1196_1,1.34,
CH106,ZM106_9,8.1,
CH12,1006_11_C3_1601,>32,
CH12,1054_07_TC4_1499,>32,
CH12,6535_3,>32,
CH12,700010040_C9_4520,>32,
CH12,AC10_29,>32,
CH12,CAP206_1_B5,5.53,
CH12,CAP45_G3,>32,
CH12,CE0393_C3,>32,
CH12,CE1086_B2,>32,
CH12,CE1176_A3,>32,
CH12,CE2010_F5,>32,
CH12,COT6_15,11,
CH12,DU156_12,18.46,
CH12,DU172_17,>32,
CH12,DU422_1,>32,
CH12,PVO_4,>32,
CH12,Q168_A2,>32,
CH12,Q23_17,>32,
CH12,Q259_17,>32,
CH12,Q461_E2,>32,
CH12,Q769_D22,>32,
CH12,Q842_D12,>32,
CH12,QH0692_42,>32,
CH12,RHPA4259_7,>32,
CH12,SC422_8,>32,
CH12,TRO_11,17.5,
CH12,WEAU_D15_410,>32,
CH12,ZM197_7,20.21,
CH12,ZM214_15,>32,
CH13,1006_11_C3_1601,>50,
CH13,1054_07_TC4_1499,>50,
CH13,6535_3,13.27,
CH13,700010040_C9_4520,>50,
CH13,AC10_29,>50,
CH13,BAL_26,20.44,
CH13,BX08_16,13.43,
CH13,CAP206_1_B5,>50,
CH13,CAP206_1_B5_Y681D,8.7,
CH13,CAP45_G3,>50,
CH13,CE0393_C3,>50,
CH13,CE0682_E4,>50,
CH13,CE1086_B2,>50,
CH13,CE1176_A3,>50,
CH13,CE2010_F5,>50,
CH13,CH505_TF,>50,
CH13,CH505_W4_3,0.1,
CH13,CM244_EC1,>50,
CH13,DU156_12,>50,
CH13,DU172_17,>50,
CH13,DU422_1,>50,
CH13,MN_3,0.17,
CH13,MW965_26,0.11,
CH13,NP03,0.57,
CH13,PVO_4,>50,
CH13,QH0692_42,>50,
CH13,REJO4541_67,>50,
CH13,RHPA4259_7,>50,
CH13,SC422_8,>50,
CH13,SF162,1.93,
CH13,TH023_6,<0.02,
CH13,THRO4156,>50,
CH13,TRJO4551_58,>50,
CH13,TRO_11,>50,
CH13,WEAU_D15_410,>50,
CH13,ZM197_7,>50,
CH13,ZM214_15,>50,
CH14,1006_11_C3_1601,>50,
CH14,1054_07_TC4_1499,>50,
CH14,1394_C9G1,>50,
CH14,191955_A11,>50,
CH14,249M_B10,>50,
CH14,6535_3,>50,
CH14,700010040_C9_4520,>50,
CH14,703010054_2A2_REV,>50,
CH14,703010200_1E5,>50,
CH14,704809221_1B3,>50,
CH14,AC10_29,>50,
CH14,BAL_26,>50,
CH14,BF1266_431A,>50,
CH14,BX08_16,>50,
CH14,CAP206_1_B5,22,
CH14,CAP206_1_B5_Y681D,0.12,
CH14,CAP45_G3,>50,
CH14,CE0393_C3,>50,
CH14,CE0682_E4,>50,
CH14,CE1086_B2,>50,
CH14,CE1176_A3,>50,
CH14,CE2010_F5,>50,
CH14,CE2060_G9,>50,
CH14,CH505_TF,38,
CH14,CH505_W4_3,<0.02,
CH14,CM244_EC1,>50,
CH14,DU156_12,>50,
CH14,DU172_17,>50,
CH14,DU422_1,>50,
CH14,MN_3,>50,
CH14,MW965_26,<0.02,
CH14,NP03,13.16,
CH14,PVO_4,>50,
CH14,Q23_17,>50,
CH14,Q259_17,>50,
CH14,Q461_E2,>50,
CH14,Q769_D22,>50,
CH14,Q842_D12,>50,
CH14,QH0692_42,>50,
CH14,REJO4541_67,>50,
CH14,RHPA4259_7,>50,
CH14,SC422_8,>50,
CH14,SF162,>50,
CH14,TH023_6,<0.02,
CH14,THRO4156,>50,
CH14,TRJO4551_58,>50,
CH14,TRO_11,>50,
CH14,WEAU_D15_410,>50,
CH14,ZM197_7,>50,
CH14,ZM214_15,>50,
CH14,ZM246F,37.43,
CH14,ZM247_V1,>50,
CH16,1006_11_C3_1601,>50,
CH16,1054_07_TC4_1499,>50,
CH16,1394_C9G1,>50,
CH16,191955_A11,>50,
CH16,249M_B10,>50,
CH16,6535_3,5.77,
CH16,700010040_C9_4520,>50,
CH16,703010054_2A2_REV,>50,
CH16,703010200_1E5,>50,
CH16,704809221_1B3,>50,
CH16,AC10_29,>50,
CH16,BAL_26,12.46,
CH16,BF1266_431A,>50,
CH16,BX08_16,6.31,
CH16,CAP45_G3,>50,
CH16,CE0393_C3,>50,
CH16,CE0682_E4,>50,
CH16,CE1086_B2,50,
CH16,CE1176_A3,>50,
CH16,CE2010_F5,>50,
CH16,CE2060_G9,>50,
CH16,CM244_EC1,>50,
CH16,DU156_12,>50,
CH16,DU172_17,>50,
CH16,DU422_1,>50,
CH16,MN_3,0.03,
CH16,MW965_26,<0.02,
CH16,NP03,0.92,
CH16,PVO_4,>50,
CH16,Q23_17,>50,
CH16,Q259_17,>50,
CH16,Q461_E2,>50,
CH16,Q769_D22,>50,
CH16,Q842_D12,>50,
CH16,QH0692_42,>50,
CH16,REJO4541_67,>50,
CH16,RHPA4259_7,>50,
CH16,SC422_8,>50,
CH16,SF162,0.69,
CH16,TH023_6,0.68,
CH16,THRO4156,>50,
CH16,TRJO4551_58,>50,
CH16,TRO_11,>50,
CH16,WEAU_D15_410,>50,
CH16,ZM197_7,>50,
CH16,ZM214_15,>50,
CH16,ZM246F,>50,
CH16,ZM247_V1,>50,
CH17,1006_11_C3_1601,>50,
CH17,1054_07_TC4_1499,>50,
CH17,1394_C9G1,>50,
CH17,191955_A11,>50,
CH17,249M_B10,>50,
CH17,6535_3,9.51,
CH17,700010040_C9_4520,>50,
CH17,703010054_2A2_REV,>50,
CH17,703010200_1E5,>50,
CH17,704809221_1B3,>50,
CH17,AC10_29,>32,
CH17,BAL_26,13.11,
CH17,BF1266_431A,>50,
CH17,BX08_16,12.87,
CH17,CAP45_G3,>50,
CH17,CE0393_C3,>50,
CH17,CE0682_E4,>50,
CH17,CE1086_B2,>50,
CH17,CE1176_A3,>50,
CH17,CE2010_F5,>50,
CH17,CE2060_G9,>50,
CH17,CM244_EC1,>32,
CH17,DU156_12,>50,
CH17,DU172_17,>50,
CH17,DU422_1,>50,
CH17,MN_3,0.12,
CH17,MW965_26,0.02,
CH17,NP03,0.69,
CH17,PVO_4,>32,
CH17,Q23_17,>50,
CH17,Q259_17,>50,
CH17,Q461_E2,>50,
CH17,Q769_D22,>50,
CH17,Q842_D12,>50,
CH17,QH0692_42,>32,
CH17,REJO4541_67,>32,
CH17,RHPA4259_7,>32,
CH17,SC422_8,>32,
CH17,SF162,1.4,
CH17,TH023_6,0.02,
CH17,THRO4156,>32,
CH17,TRJO4551_58,>32,
CH17,TRO_11,>32,
CH17,WEAU_D15_410,>50,
CH17,ZM197_7,>50,
CH17,ZM214_15,>50,
CH17,ZM246F,>50,
CH17,ZM247_V1,>50,
CH18,1006_11_C3_1601,>50,
CH18,1054_07_TC4_1499,>50,
CH18,1394_C9G1,>50,
CH18,191955_A11,>50,
CH18,249M_B10,>50,
CH18,6535_3,7.97,
CH18,700010040_C9_4520,>50,
CH18,703010054_2A2_REV,>50,
CH18,703010200_1E5,>50,
CH18,704809221_1B3,>50,
CH18,AC10_29,>50,
CH18,BAL_26,18.57,
CH18,BF1266_431A,>50,
CH18,BX08_16,10.32,
CH18,CAP45_G3,>50,
CH18,CE0393_C3,>50,
CH18,CE0682_E4,>50,
CH18,CE1086_B2,>50,
CH18,CE1176_A3,>50,
CH18,CE2010_F5,>50,
CH18,CE2060_G9,>50,
CH18,CM244_EC1,>50,
CH18,DU156_12,>50,
CH18,DU172_17,>50,
CH18,DU422_1,>50,
CH18,MN_3,0.14,
CH18,MW965_26,0.07,
CH18,NP03,0.75,
CH18,PVO_4,>50,
CH18,Q23_17,>50,
CH18,Q259_17,>50,
CH18,Q461_E2,>50,
CH18,Q769_D22,>50,
CH18,Q842_D12,>50,
CH18,QH0692_42,>50,
CH18,REJO4541_67,>50,
CH18,RHPA4259_7,>50,
CH18,SC422_8,>50,
CH18,SF162,1.93,
CH18,TH023_6,0.04,
CH18,THRO4156,>50,
CH18,TRJO4551_58,>50,
CH18,TRO_11,>50,
CH18,WEAU_D15_410,>50,
CH18,ZM197_7,>50,
CH18,ZM214_15,>50,
CH18,ZM246F,>50,
CH18,ZM247_V1,>50,
CH235,0013095_2_11,>50,
CH235,001428_2_42,>50,
CH235,0077_V1_C16,>50,
CH235,00836_2_5,>50,
CH235,0260_V5_C36,>50,
CH235,0330_V4_C3,>50,
CH235,0439_V5_C1,>50,
CH235,0815_V3_C3,>50,
CH235,0921_V2_C14,10.9,
CH235,16055_2_3,>50,
CH235,16845_2_22,>50,
CH235,16936_2_21,>50,
CH235,231965_C1,>50,
CH235,235_47,>50,
CH235,242_14,>50,
CH235,246_F3_C10_2,1.33,
CH235,247_23,>50,
CH235,25710_2_43,>50,
CH235,25711_2_4,>50,
CH235,25925_2_22,>50,
CH235,26191_2_48,>50,
CH235,263_8,>50,
CH235,269_12,>50,
CH235,271_11,>50,
CH235,286_36,>50,
CH235,288_38,>50,
CH235,3016_V5_C45,>50,
CH235,3168_V4_C10,>50,
CH235,3301_V1_C24,20.9,
CH235,3326_V4_C3,>50,
CH235,3337_V2_C6,>50,
CH235,3365_V2_C20,>50,
CH235,3415_V1_C1,>50,
CH235,3468_V1_C12,2.47,
CH235,3589_V1_C4,>50,
CH235,3637_V5_C3,>50,
CH235,3718_3_11,12.3,
CH235,3817_V2_C59,>50,
CH235,3873_V1_C24,>50,
CH235,3988_25,>50,
CH235,398_F1_F6_20,>50,
CH235,45_01DG5,>50,
CH235,57128_VRC15,>50,
CH235,5768_4,>50,
CH235,6095_V1_C10,>50,
CH235,6101_1,>50,
CH235,620345_C1,>50,
CH235,6322_V4_C1,>50,
CH235,6405_V4_C34,>50,
CH235,6471_V1_C16,>50,
CH235,6535_3,>50,
CH235,6540_V4_C1,>50,
CH235,6545_V4_C1,>50,
CH235,6631_V3_C10,>50,
CH235,6644_V2_C33,>50,
CH235,6785_V5_C14,>50,
CH235,6838_V1_C35,>50,
CH235,703010217_B6,>50,
CH235,7165_18,>50,
CH235,89_6,>50,
CH235,928_28,>50,
CH235,92BR025_9,>50,
CH235,92RW020_2,1.2,
CH235,96ZM651_02,>50,
CH235,A03349M1_VRC4A,>50,
CH235,A07412M1_VRC12,>50,
CH235,AC10_29,>50,
CH235,ADA,>50,
CH235,BAL_01,>50,
CH235,BAL_26,>50,
CH235,BB201_B42,>50,
CH235,BG1168_1,>50,
CH235,BG505_W6M_C2,>50,
CH235,BI369_9A,>50,
CH235,BJOX002000_03_2,>50,
CH235,BJOX009000_02_4,>50,
CH235,BJOX010000_06_2,>50,
CH235,BJOX025000_01_1,40.6,
CH235,BJOX028000_10_3,>50,
CH235,BL01,>50,
CH235,BR07,>50,
CH235,BS208_B1,>50,
CH235,BX08_16,>50,
CH235,C1080_C3,>50,
CH235,C2101_C1,12.6,
CH235,C3347_C11,>50,
CH235,C4118_9,3.3,
CH235,CAAN5342,>50,
CH235,CAP210_E8,>50,
CH235,CAP244_D3,>50,
CH235,CAP256_SU,14.6,
CH235,CAP45_G3,>50,
CH235,CE1176_A3,>50,
CH235,CH038_12,>50,
CH235,CH070_1,>50,
CH235,CH117_4,>50,
CH235,CH119_10,>50,
CH235,CH181_12,>50,
CH235,CH505_TF,0.58,
CH235,CM244_EC1,1.19,
CH235,CNE10,>50,
CH235,CNE12,>50,
CH235,CNE14,>50,
CH235,CNE15,15.2,
CH235,CNE19,27.5,
CH235,CNE20,>50,
CH235,CNE21,>50,
CH235,CNE3,>50,
CH235,CNE30,>50,
CH235,CNE31,>50,
CH235,CNE4,>50,
CH235,CNE40,>50,
CH235,CNE5,17.6,
CH235,CNE53,1.77,
CH235,CNE55,>50,
CH235,CNE56,42.9,
CH235,CNE57,>50,
CH235,CNE58,>50,
CH235,CNE59,13.6,
CH235,CNE7,>50,
CH235,CNE8,>50,
CH235,DJ263_8,>50,
CH235,DU123_06,>50,
CH235,DU151_02,3.94,
CH235,DU156_12,9.48,
CH235,DU172_17,1.92,
CH235,DU422_1,>50,
CH235,H086_8,>50,
CH235,HT593_1,>50,
CH235,HXB2,18.1,
CH235,JRCSF,>50,
CH235,JRFL,1.82,
CH235,KER2008_12,>50,
CH235,KER2018_11,>50,
CH235,KNH1209_18,>50,
CH235,KO426_T78_10,>50,
CH235,MB201_A1,>50,
CH235,MB539_2B7,>50,
CH235,MI369_A5,>50,
CH235,MN_3,>50,
CH235,MS208_A1,>50,
CH235,MW965_26,6.1,
CH235,NKU3006_EC1,4.61,
CH235,P0402_C2_11,3.65,
CH235,P1981_C5_3,>50,
CH235,PVO_4,>50,
CH235,Q168_A2,>50,
CH235,Q23_17,1.35,
CH235,Q259_17,>50,
CH235,Q461_E2,>50,
CH235,Q769_D22,>50,
CH235,Q769_H5,>50,
CH235,Q842_D12,8.15,
CH235,QH0515_1,26.4,
CH235,QH0692_42,>50,
CH235,QH209_14M_A2,>50,
CH235,R1166_C1,>50,
CH235,R2184_C4,5.82,
CH235,R3265_C6,>50,
CH235,REJO4541_67,>50,
CH235,RHPA4259_7,16.6,
CH235,S018_18,>50,
CH235,SC422_8,>50,
CH235,SF162,>50,
CH235,SS1196_1,>50,
CH235,T250_4,>50,
CH235,T251_18,>50,
CH235,T253_11,>50,
CH235,T255_34,>50,
CH235,T257_31,>50,
CH235,T266_60,>50,
CH235,T278_50,>50,
CH235,T280_5,>50,
CH235,T33_7,>50,
CH235,TH966_8,0.732,
CH235,TH976_17,0.975,
CH235,THRO4156,>50,
CH235,TRJO4551_58,>50,
CH235,TRO_11,14.8,
CH235,TRO_11,12.2,
CH235,TV1_29,>50,
CH235,TZA125_17,>50,
CH235,TZBD_02,>50,
CH235,UG037_8,>50,
CH235,WITO4160_33,>50,
CH235,X1193_C1,>50,
CH235,X1254_C3,>50,
CH235,X1632_S2_B10,>50,
CH235,X2088_C9,>50,
CH235,X2131_C1_B5,>50,
CH235,X2278_C2_B6,>50,
CH235,YU2,>50,
CH235,ZA012_29,13.2,
CH235,ZM106_9,>50,
CH235,ZM109_4,>50,
CH235,ZM135_10A,>50,
CH235,ZM176_66,>50,
CH235,ZM197_7,>50,
CH235,ZM214_15,>50,
CH235,ZM215_8,6.19,
CH235,ZM233_6,5.71,
CH235,ZM249_1,9.99,
CH235,ZM53_12,>50,
CH235,ZM55_28A,>50,
CH235.12,0013095_2_11,29.7,
CH235.12,0013095_2_11,29.7,
CH235.12,0013095_2_11,28.3,
CH235.12,001428_2_42,0.087,
CH235.12,001428_2_42,0.087,
CH235.12,001428_2_42,0.0635,
CH235.12,0077_V1_C16,6.84,
CH235.12,0077_V1_C16,6.84,
CH235.12,0077_V1_C16,4.905,
CH235.12,00836_2_5,1.09,
CH235.12,00836_2_5,1.09,
CH235.12,00836_2_5,0.738,
CH235.12,0260_V5_C36,1.02,
CH235.12,0260_V5_C36,1.02,
CH235.12,0260_V5_C36,0.734,
CH235.12,0330_V4_C3,0.313,
CH235.12,0330_V4_C3,0.313,
CH235.12,0330_V4_C3,0.233,
CH235.12,0439_V5_C1,0.374,
CH235.12,0439_V5_C1,0.374,
CH235.12,0439_V5_C1,0.417,
CH235.12,0815_V3_C3,0.056,
CH235.12,0815_V3_C3,0.056,
CH235.12,0815_V3_C3,0.0455,
CH235.12,0921_V2_C14,0.344,
CH235.12,0921_V2_C14,0.344,
CH235.12,0921_V2_C14,0.2715,
CH235.12,16055_2_3,0.159,
CH235.12,16055_2_3,0.159,
CH235.12,16055_2_3,0.1355,
CH235.12,16845_2_22,7.47,
CH235.12,16845_2_22,7.47,
CH235.12,16845_2_22,5.37,
CH235.12,16936_2_21,0.5,
CH235.12,16936_2_21,0.5,
CH235.12,16936_2_21,0.3995,
CH235.12,191821_E6_1,4.685,
CH235.12,231965_C1,13.9,
CH235.12,231965_C1,13.9,
CH235.12,231965_C1,12.4,
CH235.12,235_47,0.293,
CH235.12,235_47,0.293,
CH235.12,235_47,0.208,
CH235.12,242_14,2.83,
CH235.12,242_14,2.83,
CH235.12,242_14,1.9,
CH235.12,246_F3_C10_2,0.197,
CH235.12,247_23,0.691,
CH235.12,247_23,0.691,
CH235.12,247_23,0.498,
CH235.12,25710_2_43,0.382,
CH235.12,25710_2_43,0.382,
CH235.12,25710_2_43,0.264,
CH235.12,25711_2_4,0.974,
CH235.12,25711_2_4,0.974,
CH235.12,25711_2_4,0.764,
CH235.12,25925_2_22,0.641,
CH235.12,25925_2_22,0.641,
CH235.12,25925_2_22,0.4815,
CH235.12,26191_2_48,0.583,
CH235.12,26191_2_48,0.583,
CH235.12,26191_2_48,0.408,
CH235.12,263_8,0.447,
CH235.12,263_8,0.447,
CH235.12,263_8,0.349,
CH235.12,269_12,>50,
CH235.12,269_12,>50,
CH235.12,269_12,>50,
CH235.12,271_11,0.09,
CH235.12,271_11,0.09,
CH235.12,271_11,0.073,
CH235.12,286_36,0.699,
CH235.12,286_36,0.699,
CH235.12,286_36,0.484,
CH235.12,288_38,1.62,
CH235.12,288_38,1.62,
CH235.12,288_38,1.48,
CH235.12,3016_V5_C45,>50,
CH235.12,3016_V5_C45,>50,
CH235.12,3016_V5_C45,>50,
CH235.12,3168_V4_C10,0.372,
CH235.12,3168_V4_C10,0.372,
CH235.12,3168_V4_C10,0.298,
CH235.12,3301_V1_C24,0.473,
CH235.12,3301_V1_C24,0.473,
CH235.12,3301_V1_C24,0.3485,
CH235.12,3326_V4_C3,0.114,
CH235.12,3326_V4_C3,0.114,
CH235.12,3326_V4_C3,0.0875,
CH235.12,3337_V2_C6,0.429,
CH235.12,3337_V2_C6,0.429,
CH235.12,3337_V2_C6,0.3425,
CH235.12,3365_V2_C20,0.068,
CH235.12,3365_V2_C20,0.068,
CH235.12,3365_V2_C20,0.0525,
CH235.12,3415_V1_C1,0.45,
CH235.12,3415_V1_C1,0.45,
CH235.12,3415_V1_C1,0.361,
CH235.12,3468_V1_C12,0.07,
CH235.12,3468_V1_C12,0.07,
CH235.12,3468_V1_C12,0.053,
CH235.12,3589_V1_C4,0.309,
CH235.12,3589_V1_C4,0.309,
CH235.12,3589_V1_C4,0.279,
CH235.12,3637_V5_C3,12.2,
CH235.12,3637_V5_C3,12.2,
CH235.12,3637_V5_C3,9.715,
CH235.12,3718_3_11,0.36,
CH235.12,3718_3_11,0.36,
CH235.12,3718_3_11,0.2505,
CH235.12,3817_V2_C59,3.63,
CH235.12,3817_V2_C59,3.63,
CH235.12,3817_V2_C59,2.227,
CH235.12,3873_V1_C24,>50,
CH235.12,3873_V1_C24,>50,
CH235.12,3873_V1_C24,>50,
CH235.12,3988_25,0.917,
CH235.12,3988_25,0.917,
CH235.12,3988_25,0.616,
CH235.12,398_F1_F6_20,1.76,
CH235.12,398_F1_F6_20,1.76,
CH235.12,398_F1_F6_20,1.184,
CH235.12,40100_V01_MN01,0.142,
CH235.12,45_01DG5,0.058,
CH235.12,45_01DG5,0.058,
CH235.12,45_01DG5,0.04,
CH235.12,57128_VRC15,6.59,
CH235.12,57128_VRC15,6.59,
CH235.12,57128_VRC15,4.66,
CH235.12,5768_4,0.715,
CH235.12,5768_4,0.715,
CH235.12,5768_4,0.518,
CH235.12,6095_V1_C10,1.33,
CH235.12,6095_V1_C10,1.33,
CH235.12,6095_V1_C10,0.952,
CH235.12,6101_1,0.467,
CH235.12,6101_1,0.467,
CH235.12,6101_1,0.359,
CH235.12,620345_C1,1.94,
CH235.12,620345_C1,1.94,
CH235.12,620345_C1,1.505,
CH235.12,6322_V4_C1,0.944,
CH235.12,6322_V4_C1,0.944,
CH235.12,6322_V4_C1,0.64,
CH235.12,6405_V4_C34,>50,
CH235.12,6405_V4_C34,>50,
CH235.12,6405_V4_C34,>50,
CH235.12,6471_V1_C16,>50,
CH235.12,6471_V1_C16,>50,
CH235.12,6471_V1_C16,>50,
CH235.12,6535_3,4.85,
CH235.12,6535_3,4.85,
CH235.12,6535_3,3.775,
CH235.12,6540_V4_C1,>50,
CH235.12,6540_V4_C1,>50,
CH235.12,6540_V4_C1,>50,
CH235.12,6545_V4_C1,>50,
CH235.12,6545_V4_C1,>50,
CH235.12,6545_V4_C1,>50,
CH235.12,6631_V3_C10,5.83,
CH235.12,6631_V3_C10,5.83,
CH235.12,6631_V3_C10,3.935,
CH235.12,6644_V2_C33,>50,
CH235.12,6644_V2_C33,>50,
CH235.12,6644_V2_C33,>50,
CH235.12,6785_V5_C14,>50,
CH235.12,6785_V5_C14,>50,
CH235.12,6785_V5_C14,>50,
CH235.12,6838_V1_C35,1.08,
CH235.12,6838_V1_C35,1.08,
CH235.12,6838_V1_C35,0.757,
CH235.12,703010217_B6,0.319,
CH235.12,703010217_B6,0.319,
CH235.12,703010217_B6,0.2335,
CH235.12,7165_18,>50,
CH235.12,7165_18,>50,
CH235.12,7165_18,>50,
CH235.12,89_6,2.23,
CH235.12,89_6,2.23,
CH235.12,89_6,1.405,
CH235.12,928_28,0.542,
CH235.12,928_28,0.542,
CH235.12,928_28,0.441,
CH235.12,92BR025_9,>50,
CH235.12,92BR025_9,>50,
CH235.12,92BR025_9,>50,
CH235.12,92RW020_2,0.301,
CH235.12,92RW020_2,0.301,
CH235.12,92RW020_2,0.2115,
CH235.12,96ZM651_02,1.18,
CH235.12,96ZM651_02,1.18,
CH235.12,96ZM651_02,0.8475,
CH235.12,A03349M1_VRC4A,4.08,
CH235.12,A03349M1_VRC4A,4.08,
CH235.12,A03349M1_VRC4A,3.13,
CH235.12,A07412M1_VRC12,0.082,
CH235.12,A07412M1_VRC12,0.351,
CH235.12,A07412M1_VRC12,0.238,
CH235.12,AC10_29,2.13,
CH235.12,AC10_29,2.13,
CH235.12,AC10_29,1.75,
CH235.12,ADA,0.907,
CH235.12,ADA,0.907,
CH235.12,ADA,0.9935,
CH235.12,BAL_01,0.237,
CH235.12,BAL_01,0.237,
CH235.12,BAL_01,0.155,
CH235.12,BAL_26,0.214,
CH235.12,BAL_26,0.214,
CH235.12,BAL_26,0.15,
CH235.12,BB201_B42,0.573,
CH235.12,BB201_B42,0.573,
CH235.12,BB201_B42,0.442,
CH235.12,BB539_2B13,0.246,
CH235.12,BG1168_1,1.42,
CH235.12,BG1168_1,1.42,
CH235.12,BG1168_1,1.103,
CH235.12,BG505_W6M_C2,0.111,
CH235.12,BG505_W6M_C2,0.111,
CH235.12,BG505_W6M_C2,0.084,
CH235.12,BI369_9A,0.29,
CH235.12,BI369_9A,0.29,
CH235.12,BI369_9A,0.2125,
CH235.12,BJOX002000_03_2,0.739,
CH235.12,BJOX002000_03_2,0.739,
CH235.12,BJOX002000_03_2,0.57,
CH235.12,BJOX009000_02_4,5.5,
CH235.12,BJOX009000_02_4,5.5,
CH235.12,BJOX009000_02_4,4.245,
CH235.12,BJOX010000_06_2,10.6,
CH235.12,BJOX010000_06_2,10.6,
CH235.12,BJOX010000_06_2,9.06,
CH235.12,BJOX025000_01_1,0.271,
CH235.12,BJOX025000_01_1,0.271,
CH235.12,BJOX025000_01_1,0.219,
CH235.12,BJOX028000_10_3,0.168,
CH235.12,BJOX028000_10_3,0.168,
CH235.12,BJOX028000_10_3,0.122,
CH235.12,BL01,>50,
CH235.12,BL01,>50,
CH235.12,BL01,>50,
CH235.12,BR07,1.51,
CH235.12,BR07,1.51,
CH235.12,BR07,1.265,
CH235.12,BS208_B1,0.263,
CH235.12,BS208_B1,0.263,
CH235.12,BS208_B1,0.1875,
CH235.12,BX08_16,2.35,
CH235.12,BX08_16,2.35,
CH235.12,BX08_16,1.7,
CH235.12,C1080_C3,2.69,
CH235.12,C1080_C3,2.69,
CH235.12,C1080_C3,2.025,
CH235.12,C2101_C1,0.261,
CH235.12,C2101_C1,0.261,
CH235.12,C2101_C1,0.174,
CH235.12,C3347_C11,0.117,
CH235.12,C3347_C11,0.117,
CH235.12,C3347_C11,0.086,
CH235.12,C4118_9,0.084,
CH235.12,C4118_9,0.084,
CH235.12,C4118_9,0.0595,
CH235.12,CAAN5342,2.23,
